Final_Rank,Market,Region,TF,Factors,Direction,AvgWin%,Trades,TotalPnL%,Net_TotalPnL%_After_Tax,Cost%_RT,Net_Total%_After_Charges,Tax%,Verified_File,Indicators_Computation,Cost_Doc,Verification_Status
11,XLK_Tech,US,1h,Price<SMA50+EMA9>EMA20+EMA20<EMA50+Close>Open,LONG,68.75,48,9.89,6.7,0.02,8.93,25,XLK_Tech_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
12,XLK_Tech,US,1h,Price<SMA50+EMA9>EMA20+Close>Open,LONG,67.86,56,9.84,6.54,0.02,8.72,25,XLK_Tech_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
13,DIA,US,1h,RSI<45+EMA20>EMA50+Close<Open+2Red,LONG,60.16,123,10.34,5.91,0.02,7.88,25,DIA_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
14,IWM,US,1h,Price<SMA50+EMA9>EMA20+EMA20<EMA50+Close>Open,SHORT,63.41,41,8.32,5.63,0.02,7.5,25,IWM_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
15,ADA,Crypto,1h,Price<SMA20+Price>SMA50+EMA9<EMA20+Range>1.5%,SHORT,60.38,53,23.93,5.62,0.3,8.03,30,ADA_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
16,SP500,US,1h,Price>SMA20+EMA9>EMA20+EMA20<EMA50+Close>Open,LONG,62.35,170,10.39,5.24,0.02,6.99,25,SP500_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
17,SP500,US,1h,Price>SMA20+EMA20<EMA50+2Red,SHORT,62.5,40,7.53,5.05,0.02,6.73,25,SP500_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
18,SP500,US,1h,EMA9>EMA20+EMA20<EMA50+Close>Open,LONG,61.71,175,10.21,5.03,0.02,6.71,25,SP500_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
19,XLK_Tech,US,1h,Price<SMA50+EMA9>EMA20+2Red,LONG,63.64,55,7.66,4.92,0.02,6.56,25,XLK_Tech_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
20,XLK_Tech,US,1h,Price<SMA50+EMA9>EMA20+Close<Open+2Red,LONG,62.96,54,7.51,4.82,0.02,6.43,25,XLK_Tech_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
21,XLK_Tech,US,1h,Price<SMA50+EMA9>EMA20+Close<Open,LONG,60.2,98,8.24,4.71,0.02,6.28,25,XLK_Tech_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
22,Nasdaq100,US,1h,Price>SMA20+Price<SMA50+EMA9>EMA20+Close>Open,LONG,62.5,40,7.03,4.67,0.02,6.23,25,Nasdaq100_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
23,XLK_Tech,US,1h,Price<SMA50+EMA9>EMA20+EMA20<EMA50+Close<Open,LONG,63.64,55,7.22,4.59,0.02,6.12,25,XLK_Tech_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
24,Nasdaq100,US,1h,Price<SMA50+EMA9>EMA20+EMA20<EMA50+Close>Open,LONG,61.36,44,6.98,4.58,0.02,6.1,25,Nasdaq100_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
25,Nasdaq100,US,1h,Close>Open+2Red,LONG,70.0,50,6.83,4.37,0.02,5.83,25,Nasdaq100_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
26,QQQ,US,1h,Price<SMA50+EMA9>EMA20+EMA20<EMA50+Close>Open,LONG,60.98,41,6.55,4.3,0.02,5.73,25,QQQ_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
27,DIA,US,1h,Price<SMA20+EMA9>EMA20+Close<Open+2Red,LONG,60.15,133,7.27,3.46,0.02,4.61,25,DIA_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
28,QQQ,US,1h,Price>SMA50+EMA9<EMA20+Close<Open,LONG,70.0,50,5.41,3.31,0.02,4.41,25,QQQ_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
29,XLF_Fin,US,1h,Price<SMA50+EMA9>EMA20+EMA20<EMA50+2Red,SHORT,60.0,50,4.99,2.99,0.02,3.99,25,XLF_Fin_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
30,IWM,US,1h,Price>SMA50+EMA9>EMA20+EMA20<EMA50+Close>Open,LONG,62.42,149,6.73,2.81,0.02,3.75,25,IWM_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
31,SPY,US,1h,Price>SMA50+EMA20<EMA50+Close<Open,LONG,63.16,57,4.81,2.75,0.02,3.67,25,SPY_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
32,SPY,US,1h,Price>SMA20+EMA9>EMA20+EMA20<EMA50+Close>Open,LONG,60.24,166,6.59,2.45,0.02,3.27,25,SPY_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
33,SPY,US,1h,Price>SMA50+EMA9>EMA20+EMA20<EMA50+Close<Open,LONG,60.38,53,3.76,2.02,0.02,2.7,25,SPY_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
34,DIA,US,1h,Price<SMA50+EMA9>EMA20+EMA20>EMA50,LONG,63.24,68,3.95,1.94,0.02,2.59,25,DIA_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
35,IWM,US,1h,Price<SMA20+Price>SMA50+EMA9<EMA20,LONG,60.34,116,4.88,1.92,0.02,2.56,25,IWM_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
36,DIA,US,1h,Price<SMA50+EMA9>EMA20+Close<Open+2Red,LONG,67.86,56,3.64,1.89,0.02,2.52,25,DIA_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
